ID,Plan_sku,Nombre,tamaño,descripción,precio,url_foto_marca,billing_type
41,1MonthToallaUltradelgadaStayfree34900,Toalla ultradelgada Stayfree,14,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515,1Mes
42,1MonthToallaNormalStayfree34900,Toalla Normal Stayfree,15,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://vignette.wikia.nocookie.net/logopedia/images/9/98/Stayfree_logo.gif/revision/latest?cb=20140305082515,1Mes
43,1MonthToallaMallaKotex34900,Toalla Malla Kotex,16,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,1Mes
44,1MonthToallaSportKotex34900,Toalla Sport Kotex,17,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$34.900,https://2.bp.blogspot.com/-c4TIfzSGTiA/WyldH69lUyI/AAAAAAABrpI/O97x3jLKM0ExQB8NM5nl6Q4cnwybK6DQACLcBGAs/s1600/image002.png,1Mes
45,3MonthsTamponSuperOB99500,Tampon super o.b.,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa.",$99.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,3Meses
46,3MonthsTamponMedioOB99500,Tampon medio o.b.,2,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,3Meses
47,3MonthsTamponMiniOB99500,Tampon mini o.b.,3,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,3Meses
48,3MonthsTamponMedioApliOB99500,Tampon medio con aplicador o.b.,4,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,3Meses
49,3MonthsTamponSuperApliOB99500,Tampon super con aplicador o.b.,5,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://userscontent2.emaze.com/images/ee101864-7ac4-4f76-91b8-392ad8c5f0a1/381aa72f4f74d68d9a065e223761032d.png,3Meses
50,3MonthsTamponSuperNosotras99500,Tampon super Nosotras,1,"Productos seleccionados por ti para esos días, pañitos húmedos, protectores, productos de belleza, snacks y sorpresas. Todo a la puerta de tu casa",$99.500,https://www.nosotrasonline.com.co/eventos/Colombia/2018/junio/protectores-largos-con-alas/assets/img/home/logo_header.png,3Meses
